# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3096
#@/user_id	xiaoyi-sp9
a 	啊	c=8 d=1.17034 t=3096
fen 	分	c=1 d=0.0572688 t=3096
fen zhi 	分支	c=1 d=0.810584 t=3096
fen zhong 	分鐘	c=1 d=0.0575558 t=3096
feng 	風	c=1 d=0.0401553 t=3096
feng du 	風度	c=1 d=0.151829 t=3096
feng sheng 	風聲	c=1 d=0.0393602 t=3096
feng zhuang 	封裝	c=1 d=0.0761538 t=3096
fou ze 	否則	c=1 d=0.398519 t=3096
fu chu 	付出	c=3 d=1.3543 t=3096
fu hao 	符號	c=1 d=0.970446 t=3096
fu jian 	附件	c=1 d=0.0776922 t=3096
fu ke 	復刻	c=1 d=0.519442 t=3096
fu za 	複雜	c=2 d=0.0550232 t=3096
fu zhu 	輔助	c=3 d=1.9554 t=3096
gai dong 	改動	c=1 d=0.782705 t=3096
gan 	幹	c=1 d=0.08291 t=3096
gan bu 	幹部	c=1 d=0.12493 t=3096
gan bu shang 	趕不上	c=1 d=0.0547488 t=3096
gan diao 	幹掉	c=1 d=0.625002 t=3096
gan jue 	感覺	c=10 d=1.39068 t=3096
gan tan 	感嘆	c=1 d=0.331211 t=3096
gan wu 	感悟	c=1 d=0.240508 t=3096
gan xi bao 	幹細胞	c=1 d=0.582748 t=3096
gan xie 	感謝	c=1 d=0.107528 t=3096
gan zhi 	感知	c=1 d=0.477114 t=3096
gang cai 	剛纔	c=2 d=0.869358 t=3096
gao 	搞	c=3 d=0.0769031 t=3096
gao 	高	c=3 d=0.0912897 t=3096
gao feng 	高峯	c=3 d=1.8237 t=3096
gao wan 	睾丸	c=2 d=0.599034 t=3096
gao xiao 	搞笑	c=1 d=0.106459 t=3096
ge 	個	c=8 d=2.27662 t=3096
ge bi 	隔壁	c=1 d=0.168638 t=3096
ge ge 	哥哥	c=10 d=5.06191 t=3096
ge le 	割了	c=1 d=0.588605 t=3096
ge pi 	各闢	c=1 d=0.818731 t=3096
ge ren 	個人	c=2 d=0.342324 t=3096
ge shu 	個數	c=1 d=0.26982 t=3096
ge xing 	個性	c=1 d=0.0216013 t=3096
ge zhong 	各種	c=1 d=0.371577 t=3096
gei 	給	c=7 d=1.27716 t=3096
gei ni 	給你	c=7 d=1.53826 t=3096
gen 	跟	c=1 d=0.802519 t=3096
gong jiao che 	公交車	c=1 d=0.0569831 t=3096
